ID,Type,Name,Cost,Traits,Strength,Health,Restore,Effect,Notes,Color
15,Creature,Bitter Haunt,1P,Apparition,1,1,0,Subtle (This creature may ignore the battleline when deploying),,Purple
16,Creature,Shade,1P,Apparition | Horror,2,1,0,"Shade enters play ready.
Subtle
End of Phase: Sacrifice Shade.",,Purple
17,Creature,Diviner of Bones,2P,Summoner,1,2,1,Idle: Draw a card.,,Purple
18,Creature,Leader of the March,3P,Apparition | Leader,1,3,0,Idle: Move another friendly creature,,Purple
19,Creature,Lingering Malice,2P,Apparition,3,1,0,"Sentry
Trap: Deal 1 damage to the trapped creature.",,Purple
20,Creature,Vengeful Huntress,4P,Demon | Hunter,3,4,1,Bloodied: Deal 2 damage to an enemy creature.,,Purple
21,Creature,"Visant, Gravekeeper",3P,Human,2,2,2,Destroyed: Give a friendly Apparition +2 | +2 | +0.,,Purple
22,Creature,Necronomican,4P ,Summoner,4,2,0,"Destroyed: You may sacrifice a friendly creature. If you do, revive Necronomican",,Purple
23,Creature,Heart of the March,4P,Human,2,3,0,Deploy: Give Heart of the March +1 Strength.,"""Pick it up! Let's go! Pick it up!"" - Heart of the March",Purple
24,Creature,Pointman,4P,Human | Leader,1,2,2,"Sentry
Friendly creatures in the same zone as Pointman have Sentry.",,Purple
25,Creature,Composite of Shadows,2P,Apparition | Summoner,1,1,1,"If there are 2 or more other friendly apparitions in play, Composite of Shadows gets +3|+3|+0.",,Purple
26,Creature,"Yindír, Pit-builder",3P,Demon,1,1,1,Trap: The trapped creature's Strength becomes 0.,,Purple
27,Creature,Liminal Mage,5P,Summoner,2,3,0,Trap: Play an Apparition from your hand to this zone at no cost.,,Purple
28,Creature,"Pietr Kivala, Gate's Warden",5P,Human | Summoner,2,2,1,"Each time your opponent discards or recycles a card, draw a card.","""Every deal passes through the warden..."" - Vidant, Otherseer",Purple
29,Creature,"T. Taylor, Spirit Spy",4P,Apparition,3,2,0,"Subtle (This creature may ignore the battleline when deploying).
Whenever T. Taylor, Spirit Spy is deployed to the enemy Barracks, provoke an enemy creature in its zone.",,Purple
30,Creature,"Aylki, the Hunger",3P,Apparition,1,3,0,"When a creature is destroyed by Aylki, you may search your library for a card named ""Consume Spirit,"" and place it in your hand. Shuffle your library.",,Purple
31,Creature,"Ischdil, The Consumed",6P,Horror | Priest,4,2,0,"Subtle (This creature may ignore the batteline when deploying)
Deploy: Other horrors in this zone lose 1 health.","""Gods know what Ischdil has seen... Or perhaps, they don't."" -  Uenva, Ruinspeaker",Purple
32,Creature,Eclissi,3P,Apparition | Horror,0,6,0,Subtle,,Purple
33,Creature,"Mirk, Runein",4P,Summoner,3,1,1,"Deploy: Search your library for a card named ""Mirkin Space"" and place it in your hand. Then shuffle your library.
Destroyed: Gain 1P.",,Purple
34,Creature,Terrat Ward,1P,Location | Ritual,0,2,1,"Guard: A friendly Wonder gains ""Trap: If the trapped creature is an Apparition or Horror, destroy it"" until end of phase.",,Purple
35,Creature,Masked Salesman,5P,Horror | Summoner,1,4,0,"Masked Salesman gains the effects of all cards stockpiled underneath it.
Trap: Stockpile the trapped creature under Masked Salesman.
Destroyed: Play the cards stockpiled under Masked Salesman as if they belonged to their original owner.",,Purple
36,Instant,Pace of Progress,1P,-,-,-,-,Play: The next deploy effect triggers twice.,,Purple
37,Instant,Blessing of the Spectre,1P,-,-,-,-,"Play: Stockpile this card under a creature. 
Stockpiled: Gain subtle.",,Purple
38,Instant,The Igvryic Process,2P,-,-,-,-,Play: Move a creature.,,Purple
39,Instant,Mirkin Space,1P,-,-,-,-,"Play: Deal 1 damage to a friendly creature. If this damage destroys that creature, gain 2P mana.",,Purple
40,Instant,On the Move,3P,-,-,-,-,"Play: Until the end of phase, whenever a creature is deployed, trigger its Idle effect.",,Purple
41,Instant,The Haunt,4P,-,-,-,-,Play: Apparitions get +2 Strength until the end of this phase.,,Purple
42,Instant,The Night of Many Terrors,2P,-,-,-,-,Play: Every friendly creature gains Subtle until end of phase.,,Purple
43,Instant,Consume Spirit,2P,-,-,-,-,"Play: Choose a friendly creature with Health equal to 3. Reduce that creature's Strength to 0 and stockpile this card under it.
Stockpiled: Gain ""End of Phase: Give this creature +1 | +1 | +0."" ",,Purple
44,Instant,Decay,3P,-,-,-,-,Play: Choose any creature. The next damage dealt to that creature this phase destroys it.,,Purple
45,Instant,Horrific Visions,2P,-,-,-,-,Play: Deal 2 damage to an enemy creature. Move it to its owner's baracks.,,Purple
46,Instant,Cause for Wonder,4P,-,-,-,-,"Play: Choose a friendly creature. Trigger its Bloodied, Deploy, or Idle effect, then you may exhaust a friendly creature. If you do, trigger the chosen creature's effect.",,Purple
47,Instant,Fleetfooted,3P,-,-,-,-,"Play: Choose a friendly creature. Deploy it, then ready and deploy it again.",,Purple
48,Instant,Beyond the Gate,3P,-,-,-,-,"Play: Select a friendly creature. Give that creature +1 | -1 | +0 and the trait ""Apparition""",,Purple
49,Instant,Pietr's Sanctum,4P,-,-,-,-,"Play: During this phase, every time your opponent discards or recycles cards, they must sacrifice a creature.",,Purple
,,,,,,,,,,
50,Wonder,Tower of Rabble,7O,Location | Anomaly,-,9,-,"Whenever you recycle a gold card, Stockpile one of the recycled cards under Tower of Rabble.
Play: Until the end of this phase, every Construct gains the trait Anomaly.
Action: Give a creature +0 | +1 | +1 for each card stockpiled under Tower of Rabble. Shuffle the stockpiled cards into your deck.",,Gold
51,Wonder,Swarm Construction Chip,8O,Artifact,-,4,-,"Each Construct in play gains ""Action: Gain 2 gold mana.""",,Gold
52,Wonder,Oracle's Eye,"6O
",Location,-,7,-,"Play: Your opponent reveals a card in their hand for each Wonder in play.
Action: 1G. Look at the next X number of cards in your library, where X is  the number of Wonders in play. Put those cards back in any order, then draw one card.",,Gold
53,Wonder,"Crucible of Progress
",5O,Location,-,5,-,"Play: Search your library for a Wonder and place it in your hand, then shuffle your library. Fully heal all other Wonders.
Action: Sacrifice a creature. If you do, search your library for a Wonder, place it in your hand, then shuffle your library.","""It is from the Crucible that the greatest civilizations are sprung"" -
 Daidon, Light's Representative",Gold
54,Wonder,"Ningaipodos, Purifier
","6O
",Artifact,-,5,-,"Play: Return a creature to its owner's hand.
Action: Deal 2 damage to a creature. If that creature has no damage on it, instead deal 4.","""No, please no!"" - Fugitive Misalign",Gold
55,Wonder,"Damaci, The Compiler",7O,Artifact,-,8,-,Action: 1O. Sacrifice a creature. Another friendly creature gains Strength equal to the sacrificed creature's Strength and Health equal to the sacrificed creature's Health.,,Gold
56,Wonder,Armory Exaltate,7O,Location,-,8,-,"Play: A friendly creature gains ""Trap: Deploy two other friendly creatures to this zone and resolve combat"" until end of phase.
Action: Deal 2 damage to a creature. If this destroys that creature, gain 1 gold mana.",,Gold
57,Wonder,Neural Web,7O,Artifact,-,3,-,"When a friendly creature would be destroyed instead revive it and ready it. At the end of phase, sacrifice that creature.","
""Power in perfection!"" - Exaltate Idiom",Gold
58,Wonder,Key Ite Elevatus,6O,Location,-,3,-,"Friendly non-Leader, non-Scholar creatures in the same zone as a Leader or Scholar gain Sturdy and are considered to have X Health, where X is the number of friendly creatures in play.",,Gold
59,Wonder,Ministry of Corrections,6O,Location,-,3,-,"Action: Select an enemy creature and pay its cost (in gold mana). If you do, place that creature on the bottom of its owner's deck.",,Gold
60,Wonder,Reta Galvari,8O,Location | Ritual,-,8,-,"End of Phase: Deal 1 damage to Reta Galvari. 
Action: 2O. For each point of damage on Reta Galvari, ready a friendly creature. Fully heal Reta Galvari.",,Gold
61,Wonder,Reta Anioch,5O,Location | Ritual,-,3,-,"Whenever you summon a creature, if there is not already a card stockpiled under Reta Anioch, you may instead stockpile that creature under Reta Anioch.
End of Phase: Summon each creature under Reta Anioch at no cost and give it +2 | +2 | +0.",,Gold
62,Creature,Fugitive Junker,3O,Construct | Anomaly,1,5,1,Fugitive Junker gains +1 | -1 | +0 for each non Anomaly Construct you control.,,Gold
63,Creature,Drifter Prophet,3O,Construct | Anomaly,2,3,2,Action: Draw a card for each other card you control with the Anomaly trait. Discard a card.,,Gold
64,Creature,Clockwork Enforcer,"2O
",Construct,2,3,1,,"""It'll do, for an evening's work."" - Tink, Tinkerer",Gold
65,Creature,Quality Control,2O,Construct,1,1,3,Guard: Discard the top card of your library,,Gold
66,Creature,Version Control,2O,Construct,1,3,1,"Guard: Reveal the top card of your library. If that card matches a friendly card in play, ready and fully heal it.",,Gold
67,Creature,Branch Control,3O,Construct,3,1,1,Guard: Each creature in play that doesn't share a trait with another creature is destroyed.,,Gold
68,Creature,Historical Corrections Bot,4O,Construct | Drone,1,2,0,Action: 3O. Return an enemy creature in this zone to it's owners hand.,,Gold
69,Creature,"Tink, Tinkerer",4O,Human | Scholar,1,1,0,"Tink, Tinkerer gains +1 | +1 | +0 for each Wonder in play.",,Gold
70,Creature,Replicating Widget,2O,Construct,1,1,0,"If a Replicating Widget is in play, this card costs 1 less to summon.
Idle: 1O. Search your library for a card named ""Replicating Widget"" and place it in your hand, then shuffle your library. ","""1, 2, 4, 8, double and exterminate!"" - Replicating Widget",Gold
71,Creature,Malignant Virus,2O,Data | Anomaly,1,2,1,"Malignant Virus cannot be discarded.
Idle: Sacrifice Malignant Virus.
Recyled: Destroy an enemy creature of power 3 or lower.","""I'm happy enough to avoid war, if their decay is an option"" - The Architect",Gold
72,Creature,"Daidon, Light's Representative",4O,Construct | Leader,1,4,2,Idle: Draw two cards.,,Gold
73,Creature,Selfish Automata ,6O,Construct,5,2,,"Action: Shuffle each stockpiled card into its owner's deck. Sacrifice Selfish Automata.
When the Selfish Automata would take damage, instead stockpile a number of cards (first from your hand, then from your library) equal to the damage prevented under Selfish Automata.",,Gold
74,Creature,The Distributor,3O,Data,1,1,0,Action: 2O. Summon a creature from a friendly stockpile. Sacrifice the card the creature was stockpiled under.,,Gold
75,Creature,Outpost,4O,Construct | Settler,0,7,2,"Sentry
Friendly creatures in the same zone as Outpost have Sentry and can use the Idle action in this zone.",,Gold
76,Creature,Away Defense Matrix,4O,Construct,3,5,0,"Sentry.
Trap: The trapped creature must be in direct combat with Away Defense Matrix if able.",,Gold
77,Creature,Dedicated Irritant,3O,Construct,0,3,3,Sentry. Sturdy.,,Gold
78,Creature,Architect's Core,5O,Construct | Module,0,5,0,"Action: Stockpile a friendly creature under Architect's Core. If that creature is a Module, Architect's Core gains power equal to the stockpiled creature's power. 
Architect's Core has the abilities of every module creature stockpiled under it.",,Gold
79,Creature,Targeteer-1,2O,Construct | Module,2,1,0,,,Gold
80,Creature,Viseer-2,3O,Construct | Module,0,2,0,Idle: Your opponent reveals a card at random from their hand.,,Gold
81,Creature,Traveleer-3,2O,Construct | Module,1,1,0,Deploy: Trigger Traveleer-3's Idle effects,,Gold
82,Creature,Disadeer-4,4O,Construct | Module,0,2,0,Idle: Disadeer-4 gets +2 Health until end of phase.,,Gold
83,Creature,Sanitation Bot,2O,Construct,0,2,1,"Idle: Draw 2 cards, then discard 1.",,Gold
84,Creature,"Akillas, Maximate Design",6O,Construct | Leader,7,3,1,You may only play Akillas if you already control 2 other Constructs,"""Haha! Akillas, my greatest creation. Built to win a thousand battles!"" Tink, Tinkerer",Gold
85,Creature,The Architect,3O,Cyborg | Scholar,1,2,1,Idle: Give a creature +1 | +1 | +0.,,Gold
86,Creature,Evolved Coherence,3O,Data,1,1,0,End of Phase: If a creature this phase was destroyed in the same zone as Evolved Coherenece +1 | +1 | +0.,,Gold
87,Creature,Trikeri Spearbot,5O,Construct | Weapon,3,1,0,"Deploy: Deal 1 damage to a creature in this zone.
Action: Heal 1 damage from a creature in this zone.
Idle: Sacrifice Trikeri Spearbot. Give a creature in this zone +3 | +0 | +0.",,Gold
88,Creature,0x43616e617279,4O,Data,0,1,1,Destroyed: Move all friendly creatures in 0x43616e617279's zone to your Barracks. The Battlefield may not be captured this phase.,,Gold
89,Creature,Master of the Swarm,7O,Construct,3,7,2,"Drone Master can only be played if you control 3 or more creatures.
Deploy: Search your library for a Drone. Play it at no cost, in this zone.",,Gold
90,Creature,"Yatoris, the Avaricious",3O,Cyborg | Anomaly,4,2,0,"Sturdy (This creature does not take damage, unless that damage would be enough to destroy it.) 
Destroyed: You may sacrifice a friendly creature in the same zone as Yatoris. If you do, revive Yatoris.",,Gold
91,Creature,Reco,4O,Construct | Drone,1,2,0,Destroyed: Fully heal all other friendly creatures in this zone.,,Gold
92,Creature,Apostate of Light,4O,Cyborg | Anomaly,2,4,1,"Subtle (This creature may ignore the battleline when deploying).
Deploy: Destroy a creature of health less than 2 in this zone.",,Gold
93,Creature,"Kliotise, Evolutionary Test",3O,Plant,2,1,0,"Idle: Kliotise, Evolutionary Test gets +1 health.",,Gold
94,Instant,Light's Favor,2O,-,-,-,-,"Play: If you control a Leader, stockpile this card under a friendly creature. 
Stockpiled: Gains Sturdy and ""Deploy: You may exhaust a friendly Construct. If you do, give this creature  +1 Health."" ",,Gold
95,Instant,Exploit Vulnerability,2O,-,-,-,-,"Play: Tap an enemy Wonder. If you do, deal 3 damage to it",,Gold
96,Instant,"
Principle of Locality","2O
",-,-,-,-,"Play: Choose a creature in the battleline. For each friendly creature in the Battleline, give that creature +1 | +0 | +0.",,Gold
97,Instant,Midaic Touch,5O,-,-,-,-,Play: All cards in every discard are considered to be Gold until the start of the next phase.,,Gold
98,Instant,Reset to Factory Default,3O,-,-,-,-,Play: Return a creature to its owner's hand.,,Gold
99,Instant,Gilded Ideal,3O,-,-,-,-,Play: Choose a creature. That creature may not be dealt damage until the start of the next phase.,,Gold
100,Instant,Holographic Trick,2O,-,-,-,-,"Play: Return a creature from your discard to the Battlefield. That creature has 0 power and cannot capture a battlefield. At the end of the phase, sacrifice this creature.","Some idea of ""distraction."" IE, creatures only fight what is in front of them, so you could use this to disable their strongest creature.
Frontline should be changed",Gold
101,Instant,Value Drift,4O,-,-,-,-,"Play: Every Construct creature is considered an Anomaly until End of Phase. Give every Anomaly, Scrap, and Scholar creature +2 | +0 | +0.",,Gold
102,Instant,Cost of Perfection,2O,-,-,-,-,Play: Choose a friendly creature. Deal damage equal to half that creature's health (rounded down) to each creature in its zone. Sacrifice the chosen creature.,,Gold
103,Instant,Model of Excellence,3O,-,-,-,-,Play: Your opponent discards a random card in their hand.,,Gold
104,Instant,Community Service,3O,-,-,-,-,Play: Choose an enemy creature. Deal 1 damage to that creature for each creature you control.,,Gold
105,Instant,Stabilize,4O,-,-,-,-,Play: Your opponent may not recycle cards until the start of the next phase.,,Gold
106,Instant,Repurpose,2O,-,-,-,-,Play: Sacrifice up to three creatures to summon a creature at regular cost - the health of the sacrificed creatures.,,Gold
107,Instant,Cull Imperfection,5O,-,-,-,-,Play: Destroy a creature.,Maybe still a bit too expensive?,Gold
108,Instant,Controlled Supply Lines,2O,-,-,-,-,"Play: Until the end of phase, the next player to recycle from their discard must exhaust two ready friendly creatures.",,Gold
,,,,,,,,,,
109,Wonder,"Recyling Plant
",6S,Location,-,8,"-
","Play: Return an instant from your discard into your hand.
While this is in play, any time a creature dies in combat, give a friendly creature +0 | +1 | +0",,Grey
110,Wonder,Monument to the Ages,5S,Location,-,2,-,"Action: Sacrifice a creature. If you do, give this Wonder +0 | +2 | +0.
When a creature dies defending Monument to the ages, instead of discarding it, return it to your hand.",,Grey
111,Wonder,Siegebreaker,7S,Weapon,-,7,-,Start of Phase: Each enemy creature that is outside of their barracks takes 1 damage.,,Grey
112,Wonder,Hanging Gardens,6S,Location,"-
",6,-,"Action: For each Steel creature in the discard, deal 1 to Hanging Gardens. If this damage would destroy the Hanging Gardens, instead fully heal this Wonder and destroy an ally and enemy creature. If you don't, sacrfice Hanging Gardens.",,Grey
113,Wonder,The Reminiscence,7S,Location,-,4,-,"Start of Phase: Choose an enemy creature. It gains, ""Destroyed: Shuffle the top two cards at random discard into your deck"" until end of phase.",,Grey
114,Wonder,Tower of Scrap ,4S,Location,-,9,-,Play: Destroy all creatures.,"""Only the steelmongers could worship a simple pile of garbage"" - Daidon, Light's Representative",Grey
115,Wonder,"Yliochos, Judgment's Point",6S,Location,-,4,-,"Play: You may sacrifice a friendly creature to discard 2 cards.
Action: Deal 1 damage to a creature. If this damage kills that creature, exhaust an enemy creature.",,Grey
116,Wonder,The Chop Shop,5S,Location,-,2,-,"The first time The Chop Shop would take damage in a phase, it takes none. 
Action: If a Scrap creature has been destroyed this turn, give a friendly Cyborg +2 | +0 | +0""",,Grey
117,Wonder,Scattering Relic,6S,Artifact | Ancient,-,-,-,"Destroyed: Gain 4 steel mana.
Action: Move a friendly creature to any zone, ignoring the battleline, then destroy it. ",,Grey
118,Wonder,Etched Cavern,7S,Location,-,7,-,"Every time you recycle from your discard, you may deal 3 damage to a friendly creature to draw two cards.",,Grey
119,Wonder,Valley of the Damned,6S,Location,-,5,-,"Trap: Ready each other friendly Wonder.
When attacking Valley of the Damned, creatures deal 2 less damage.",,Grey
120,Wonder,Historical of War,5S,Location,-,7,-,"Recycled: Deal 2 damage to a friendly Wonder.
Play: Search your library for a creature of cost equal to the amount of damage on all your Wonders. Summon that creature, readied.",,Grey
121,Creature,Reassembled Monstrosity,6S,Titan,7,7,2,,,Grey
122,Creature,"Rezyx, Hoarder",1S,Human | Scrap,1,1,1,Destroyed: Gain 2 steel mana at the beginning of next phase.,,Grey
123,Creature,Insef Rider,3S,Cyborg,1,2,2,"Each other ""Cyborg"" creature in play has ""Subtle""",,Grey
124,Creature,Insef Protector,5S,Cyborg,3,3,3,,,Grey
125,Creature,Insef Barrelmin,2S,Cyborg | Scholar,1,2,1,"Recycled: Ready a ""Cyborg"" creature.
Play: Ready Insef Barrelmin and another ""Cyborg"" creature.",,Grey
126,Creature,"Ylin, Insef Executioner",7S,Cyborg,4,6,3,"Deploy: Select a creature in this zone. If Ylin has 3 or more health greater than that creature, destroy it.",,Grey
127,Creature,Volate Tanker,5S,Titan | Scrap,2,5,0,Destroyed: Destroy all creatures in this zone.,"""What we can spare... we share!"" -  Dyllis, Scrapmaker",Grey
128,Creature,Mammothine Driver,6S,Titan,5,6,2,Subtle,,Grey
129,Creature,"Uenva, Ruinspeaker",5S,Titan,2,6,2,"Uenva, Ruinspeaker deals double damage to Wonders.",,Grey
130,Creature,Scattered Parts,2S,Construct,2,1,0,Recycled: Give a friendly creature +0 | +1 | +0,,Grey
131,Creature,Manic Collector,4S,Human | Scholar,1,2,1,"Idle: At the end of the phase, choose one friendly creature dead this turn and return it to your hand.",,Grey
132,Creature,Mismatched Coagulate,1S,Experiment,0,1,0,"Recycled: Shuffle 2 cards from your discard into your deck. If you do, Place Mismatched Coagulate and another Recycled card on the top of your deck.
Destroyed: Discard a card.",,Grey
133,Creature,Mechromancer,4S,Cyborg,3,2,1,Guard: Deal 1 damage to an enemy creature in this zone for each Wonder you control.,,Grey
134,Creature,Reassemblant,3S,Scrap,0,1,0,Trap: Draw a card and gain 2 Steel mana. Sacrifice Reassemblant. ,"
",Grey
135,Creature,Spontaneous Product,3S,Scrap,3,2,1,Destroyed: Discard the bottom three cards of your deck.,"""This is... not what I intended..."" - Dyllis, Scrapmaker",Grey
136,Creature,"Itiviti, Wasteland Queen",6S,Cyborg | Scholar,2,8,0,Bloodied: Select a card recycled this phase. Place that card on the top of your library. ,"""Bow, and be remade!"" - Itiviti, Wasteland Queen",Grey
137,Creature,Modi-Junker,5S,Cyborg | Scrap,0,4,3,"Friendly creatures in the same zone as Modi-Junker have ""Destroyed: Give a Modi-Junker in this zone +1 | +0 | +0.""",,Grey
138,Creature,Repurposing Caravan,4S,Construct,3,2,1,"Enemy creatures in the same zone as Repurposing Caravan have ""Destroyed: Put this card on the bottom of your library""","""Thanks for your contribution!"" - Repurposing Caravan""",Grey
139,Creature,Virtesian Maw,4S,Beast | Scrap,2,2,1,"Deploy: Move an enemy creature in this zone to their barracks, and exhaust it.",,Grey
140,Creature,"Kalkavat, Iron's Sight",5S,Cyborg,1,2,1,"Action: Search your discard for a ""Locked Shot"" and place it in your hand.",,Grey
141,Creature,"Dyllis, Scrapmaker",5S,Human | Summoner,5,2,2,"End of Phase: If a creature was destroyed by Dyllis, Scrapmaker this phase, draw 2 cards and discard 3 cards.",,Grey
142,Creature,"Tivyr, Bio-Engineer",2S,Cyborg | Scholar,2,2,0,"Sturdy (This creature does not take damage, unless that damage would destroy it). 
When Tivyr, Bio-Engineer destroys a creature, give it +1 | +1 | +0.",,Grey
143,Creature,"Fenrir, Forgotten Horror",11S,Titan | Location,9,7,3,Play: Exhaust all enemy creatures.,"""A thousand cities fell to Fenrir. Only I refused"" - Yria, Spear Maiden",Grey
144,Creature,Fallen Exalt,4S,Construct | Anomaly,1,2,1,"Guard: If there is another Construct in this zone, give Fallen Exalt +3|+0|+0 until the end of phase.","""We offer freedom from their burning light"" - Itiviti, Wasteland Queen.",Grey
145,Creature,Flamit Madman,"4S
",Cyborg | Scrap,1,3,1,"Destroyed: Destroy a battlefield, Wonder, or creature in this zone.",,Grey
146,Creature,Resupplier,4S,Human | Summoner,1,2,1,"End of Phase: You may expend 2 steel mana. If you do, resummon a friendly creature destroyed this turn.",,Grey
147,Creature,The Feed,5S,Scrap,3,2,1,"Play: Destroy an enemy creature.
Recycled: Sacrifice a friendly creature. If you do, destroy an enemy creature.",,Grey
148,Creature,Student of Scrap,3S,Scrap | Scholar,2,4,1,"Play: Instead of summoning Student of Scrap to your barracks, you may instead stockpile it under a friendly Steel creature.
Idle: Choose a friendly creature. Heal 2 points from that creature.
Stockpiled: Gains +0|+3|+1.",,Grey
149,Instant,Cruel Imitation,4S,-,-,-,-,"Play: Pick an enemy creature destroyed this phase. Summon and deploy it under your control. At the end of this phase, sacrifice that creature.",,Grey
150,Instant,Taste of Loss,2S,-,-,-,-,"Play: Destroy a friendly creature, then resummon it.",,Grey
151,Instant,Careful Execution,2S,-,-,-,-,"Play: Deal 2 damage to a creature. If this damage destroys that creature, gain 2 steel mana till end of phase.",,Grey
152,Instant,Scrapapult,XS,-,-,-,-,"Play: Deal X damage to a creature, where X is the number of cards you choose to recycle for this effect, up to a maximum of 4. ",,Grey
153,Instant,Memory of War,3S,-,-,-,-,"Play: Summon a creature from your discard. At the end of this phase, sacrifice it.",,Grey
154,Instant,Locked Shot,"2S
",-,-,-,-,"Play: If you control a ready ""Kalkavat, Iron's Sight"" deal 4 damage to an enemy creature. If you do not, destroy a friendly creature.",,Grey
155,Instant,Badge of Rust,2S,-,-,-,-,Play: Exhaust an enemy creature.,,Grey
156,Instant,Toll of Excess,4S,-,-,-,-,Play: Destroy each creature on the battlefield not in direct combat with another creature.,,Grey
157,Instant,Disarmor,3S,-,-,-,-,"Play: Stockpile this under a creature.
Stockpiled: Loses Subtle and Sturdy.",,Grey
158,Instant,Principle of Decay,3S,-,-,-,-,"Play: Every creature gains ""Deploy: Give this creature -1 | -1 | -1"" until End of Phase.",,Grey
159,Instant,Lurid Sacrifice,3S,-,-,-,-,"Play: Discard your hand. If you discarded 4 or more cards, play the top card of your library at no cost.",,Grey
160,Instant,Touch of the Wastelanders,2S,-,-,-,-,"Play: Flip over the battlefield until the end of phase. Until the end of this phase, the battlefield's effects do not occur, but the battlefield is also uncapturable.",,Grey
161,Instant,"Single Combat
",2S,-,-,-,-,Play: Retreat and exhaust each friendly creature in the Battleline but one and each enemy creature in the Battleline but one. ,,Grey
,,,,,,,,,,
162,Wonder,Jungle Throne,5G,Location,-,6,-,"Play: Reveal cards from the top of your library until you reveal a creature card. Summon the creature. Shuffle the revealed cards into your library
Action: Heal all damage from target creature",,Green
163,Wonder,Wellspring of Life,"7G
",Location,"-
",17,-,"Play: Give all Beast creatures +1 | +0 | +0
All damage done to friendly creatures is instead done to Wellspring of Life.",,Green
164,Wonder,Faëdir,5G,Location,"-
",5,-,"Friendly creatures gain ""Guard: Heal this creature 2 points.""
Action: Give a creature +1 Restore.",,Green
165,Wonder,Reclaimed Graveyard,7G,Location,-,7,-,"When summoning creatures, you may expend one of the cards in your enemy's discard as a green mana.
Action: Sacrifice a Creature. Gain G mana equal to the cost of that creature.",,Green
166,Wonder,Earth Throne,"7G
",Location,-,5,-,"Play: Heal up to 5 damage from a friendly creature
Action: 1G. Target friendly creature deals damage according to it's health until end of turn.",,Green
167,Wonder,Gaerd Village,8G,Location,-,5,-,Action: Gain control of an enemy creature with health less than 3 until End of Phase.,"""Gaerd is an example. There is always space if you submit to the wild peacefully..."" - Yllioc, Salvaged Castaway",Green
168,Wonder,The True Root,6G,Plant | Ancient,-,8,-,"Play: Fully heal all friendly creatures.
Action: Ready a deployed creature.",,Green
169,Wonder,Gaiec Salve,5G,Artifact,-,5,-,"Action: Fully heal a friendly creature
Creatures can't heal friendly Wonders
Creatures you control get +0| +0| +1",,Green
170,Wonder,"Kayl, Wood's Memory",7G,Location | Ancient,-,2,-,"End of Phase: If any creature has taken damage while defending Kayl, Wood's Memory, fully heal that creature. If a battlefield was captured this phase, you may reveal 2 battlefields from the top of your battlefield deck. If you do, place one of those battlefields into play.",,Green
171,Wonder,Beast's Den,4G,Location,-,7,-,"While Beast's Den is in play, friendly Beasts gain ""Guard: Fully heal this creature."" 
Action: If you control a ready Beast provoke an enemy creature to the battleline.",,Green
172,Creature,Jungle Tiger,2G,Beast,3,2,0,,,Green
