ID,Type,Name,Cost,Traits,Strength,Health,Restore,Effect,Notes,Color,,,,,,,,
29,Creature,Liminal Mage,5P,Summoner,2,3,0,Trap: Play an Apparition from your hand to this zone at no cost.,,Purple,,,,,,,Construct | Module,5
30,Creature,"Pietr Kivala, Gate's Warden",5P,Human | Summoner,2,2,1,"Each time your opponent discards or recycles cards, draw a card.","""Every deal passes through the warden..."" - Vidant, Otherseer",Purple,,,,,,,Cyborg |Scholar,1
31,Creature,"T. Taylor, Spirit Spy",4P,Apparition,3,2,0,"Subtle (This creature may ignore the battleline when deploying).
When this creature is deployed to the enemy Barracks, deploy a creature in their Barracks to another zone.",,Purple,,,,,,,Construct | Weapon,1
32,Creature,"Aylki, the Hunger",3P,Apparition,1,3,0,"When a creature is destroyed by Aylki, search your library for ""Consume Spirit.""",,Purple,,,,,,,Cyborg | Anomaly,2
33,Creature,"Ischdil, The Consumed",6P,Priest | Horror,4,2,0,"Deploy: Give all other horrors in this zone +0|-1|+0.
Subtle (This creature may ignore the batteline when deploying)","""Gods know what Ischdil has seen... Or perhaps, they don't."" -  Uenva, Ruinspeaker",Purple,,,,,,,Plant,2
34,Creature,Eclissi,3P,Apparition | Horror,0,8,0,Dauntless ,,Purple,,,,,,,"-
",2
35,Creature,"Mirk, Runein",4P,Summoner,3,1,1,"Deploy: Search your Library for a ""Mirkin Space."" Place it in your hand, then shuffle your library.
Destroyed: Gain 1P.",,Purple,,,,,,,Ancient | Item,1
36,Creature,Terrat Ward,1P,Location,0,2,1,"Guard: An allied artifact gains ""Trap: If the trapped creature is an Apparition or Horror, destroy it"" until end of phase",,Purple,,,,,,,Titan,4
37,Creature,Masked Salesman,5P,Horror | Summoner,1,4,0,"Trap: Stockpile the trapped creature under Masked Salesman.
Destroyed: Play the stockpiled cards under Masked Salesman as if they belonged to their original owner.
Masked Salesman has access to it's own effects, as well as that of any stockpiled card underneath it. ","Wording is way janky, but its a cool card",Purple,,,,,,,Human | Scrap,1
38,Instant,Pace of Progress,1P,-,-,-,-,Play: The next deploy effect triggers twice.,,Purple,,,,,,,Cyborg,6
39,Instant,Blessing of the Spectre,1P,-,-,-,-,Play: The next creature you summon this turn has subtle until end of phase.,,Purple,,,,,,,Scholar | Cyborg,1
40,Instant,The Igvryic Process,2P,-,-,-,-,Play: Redeploy any summoned creature.,,Purple,,,,,,,Scrap | Titan,1
41,Instant,Mirkin Space,1P,-,-,-,-,"Play: Deal 1 damage to a friendly creature. If this destroys that creature, gain 2P mana.",,Purple,,,,,,,Experiment,1
42,Instant,On the Move,3P,-,-,-,-,"Play: Until the end of phase, friendly creature with Idle effects have Idle/Deploy effects.",,Purple,,,,,,,Scrap,3
43,Instant,The Haunt,4P,-,-,-,-,Play: Apparitions gain +2 | +0 | + 0 until the end of this phase.,,Purple,,,,,,,Cyborg | Scholar,2
44,Instant,The Night of Many Terrors,2P,-,-,-,-,Play: Give every friendly creature Subtle until end of phase.,,Purple,,,,,,,Cyborg | Scrap,2
45,Instant,Consume Spirit,2P,-,-,-,-,"Play: Choose a friendly creature with toughness exactly 3. Reduce that creature's power to 0. If you do, stockpile this card under that creature.
The creature this is stockpiled under has ""End of Phase: Give this creature +1 | +1 | +0."" ",,Purple,,,,,,,Beast | Scrap,1
46,Instant,Decay,4P,-,-,-,-,Play: Choose any creature in play. The next damage dealt to that creature this phase destroys it.,,Purple,,,,,,,Titan | Location,1
47,Instant,Horrific Visions,2P,-,-,-,-,Play: Redeploy an enemy creature to its owner's barracks and deal 2 damage to it.,,Purple,,,,,,,Scrap | Scholar,1
48,Instant,Cause for Wonder,4P,-,-,-,-,"Play: Activate the Bloodied/Deploy/Witness/Idle effect of a friendly creature. If you do, you may exhaust a friendly creature in the same zone as the selected creature to repeat the previous effect.",,Purple,,,,,,,Plant | Wonder,1
49,Instant,Fleetfooted,3P,-,-,-,-,"Play: Deploy a friendly creature. Then, redeploy them. Deploy effects are triggered both times.",,Purple,,,,,,,Beast,10
50,Instant,Beyond the Gate,3P,-,-,-,-,"Play: Select a friendly creature. Give that creature +1 | -1 | +0 and the trait ""Apparition""",,Purple,,,,,,,Plant | Ancient,1
51,Instant,Pietr's Sanctum,4P,-,-,-,-,"Play: During this phase, every time your opponent discards or recycles cards, they must sacrifice a creature.",,Purple,,,,,,,Elemental,4
,,,,,,,,, ,,,,,,,,Human | Plant,2
52,Artifact,Tower of Rabble,7O,Location | Anomaly,-,9,-,"Play: Until the end of this phase, every Construct is also considered an Anomaly.
Action: Give a creature +0 | +1 | +1 for each card stashed under Tower of Rabble. Shuffle the stashed cards into your deck.
Whenever summoning/constructing anything that requires Gold mana, stash one of the cards expended under Tower of Rabble.",,Gold,Artifact,12,,,,,Construct | Plant,1
53,Artifact,Swarm Construction Chip,8O,Item | Wonder,-,4,-,"Each Construct in play gains ""Action: This card counts as 2 gold mana this turn.""",,Gold,Creature,29,,,,,Beast | Elemental,1
54,Artifact,Oracle's Eye,"6O
",Location,-,7,-,"Play: Your opponent must reveal a card in their hand for each artifact in play.
Action: 1G. Look at the next X number of cards in your library, where X is  the number of artifacts in play. Put those cards back in any order, then draw one card.",,Gold,Instant,13,,,,,Beast | Warden,1
55,Artifact,"Crucible of Progress
",5O,Location | Workshop,-,5,-,"Play: Reveal from the top of your deck until you find an artifact. Place this artifact in your hand and shuffle your library. Fully heal all other Artifacts.
Action: Sacrifice a creature. If you do, reveal from the top of your deck until you find an artifact. Place this artifact in your hand and shuffle your library.","""It is from the Crucible that the greatest civilizations are sprung"" -
 Daidon, Light's Representative",Gold,Total:,54,,,,,Faerie,1
56,Artifact,"Ningaipodos, Purifier
","6O
",Item,-,5,-,"Play: Discard all tokens on a summoned creature.
Action: Deal 2 damage to a creature. If that creature has no damage on it, instead deal 4.","""No, please no!"" - Fugitive Misalign",Gold,,,,,,,Human | Beast,1
57,Artifact,"Damaci, The Compiler",7O,Item | Wonder,-,8,-,Action: 1O. Sacrifice a creature. Add that creature's toughness and power to another allied creature.,,Gold,,,,,,,Ancient,1
58,Artifact,Armory Exaltate,7O,Location,-,8,-,"Play: A friendly creature gains ""Trap: Deploy two friendly creatures to this zone and resolve combat."" Until end of phase
Action: Deal 2 damage to a creature. If this destroys that creature, gain 1 gold mana till the end of phase.",,Gold,,,,,,,Beast | Plant,1
59,Artifact,Neural Web,7O,Item,-,3,-,"When a friendly creature would be destroyed instead ready it, retreat it, and give it ""End of Phase: Sacrifice this creature.""","
""Power in perfection!"" - Exaltate Idiom",Gold,,,,,,,Conjuration,5
60,Artifact,Key Ite Elevatus,6O,Location,-,3,-,"Friendly non-Leader, non-Scholar creatures in the same zone as a Leader or Scholar gain Sturdy and are considered to have X toughness, where X is the number of friendly creatures in play.",,Gold,,,,,,,Location | Ship,1
61,Artifact,Ministry of Corrections,6O,Location,-,3,-,"Action: Select an enemy creature and pay its cost (in gold mana). If you do, place this creature at the bottom of its owner's deck.",,Gold,,,,,,,Item | Horror,
62,Artifact,Reta Galvari,8O,Location | Ritual,-,8,-,"End of Phase: Deal 1 damage to Reta Galvari. 
Action: 2O. For each point of damage on Reta Galvari, ready an allied creature. Fully heal Reta Galvari.",,Gold,,,,,,,Item | Ritual,1
63,Artifact,Reta Anioch,5O,Location | Ritual,-,3,-,"When you summon a creature, if there is not already a card stockpiled under Reta Anioch, you may instead stockpile that creature under Reta Anioch.
End of Phase: Summon the creature under Reta Anioch at no cost and give it +2 | +2 | +0.",,Gold,,,,,,,Pillager,9
64,Creature,Fugitive Junker,3O,Construct | Anomaly,1,5,1,Fugitive Junker gains +1 | -1 | +0 for each non Anomaly Construct controlled by the active player,,Gold,,,,,,,Horror,3
65,Creature,Drifter Prophet,3O,Construct | Anomaly,2,3,2,Action: Draw a card for each other card you control with the Anomaly trait. Discard one card.,,Gold,,,,,,,"Pillager | Martyr
",1
66,Creature,Clockwork Enforcer,"2O
",Construct,2,3,1,,"""It'll do, for an evening's work."" - Tink, Tinkerer",Gold,,,,,,,Apparition | Martyr,1
67,Creature,Quality Control,2O,Construct,1,1,3,Guard: Discard the top card of your library,,Gold,,,,,,,Titan | Beast,1
68,Creature,Version Control,2O,Construct,1,3,1,"Guard: Reveal the top card of your library. If that card matches a friendly card in play, ready the card in play and fully heal it.",,Gold,,,,,,,Pillager | Horror,2
69,Creature,Branch Control,3O,Construct,3,1,1,"Guard: If there is a creature in play that shares no traits with any other creature, destroy it.",,Gold,,,,,,,Beast | Horror,1
70,Creature,Historical Corrections Bot,4O,Construct | Drone,1,2,0,Action: 3O. Return an enemy creature in this zone to it's owners hand.,,Gold,,,,,,,Scrap | Horror,
71,Creature,"Tink, Tinkerer",4O,Human | Scholar,1,1,0,This creature gains +1 | +1 | +0 for each artifact in play.,,Gold,,,,,,,Pillager | Ship,1
72,Creature,Replicating Widget,2O,Construct,1,1,0,"Idle: 1O. Search your library for a Replicating Widget and place it in hand. Shuffle your library. If a Replicating Widget is in play, this card costs 1 less to summon.","""1, 2, 4, 8, double and exterminate!"" - Replicating Widget",Gold,,,,,,,Elemental | Horror,1
73,Creature,Malignant Virus,2O,"Data | Anomaly
",1,2,1,"Idle: Discard Malignant Virus.
Recyled: Destroy an enemy creature of power 3 or lower.
","""I'm happy enough to avoid war, if their decay is an option"" - The Architect",Gold,,,,,,,Pillager | Leader,1
74,Creature,"Daidon, Light's Representative",4O,Construct | Leader,1,4,2,Idle: Draw two cards.,,Gold,,,,,,,Human | Seer,1
75,Creature,Selfish Automata ,6O,Construct,5,2,,"Action: Shuffle each stockpiled card into its owner's deck. Sacrifice this creature.
When the Selfish Automata would take damage, instead stockpile a number of cards equivalent to the intended damage (first from your hand, then from your library) under the Selfish Automata.",,Gold,,,,,,,Human | Thief,1
76,Creature,The Distributor,3O,Data,1,1,0,Action: 2O. Summon a creature from a friendly stockpile. Sacrifice the card the creature was stockpiled under.,,Gold,,,,,,,Kyr | [Trait],1
77,Creature,Architect's Core,5O,Construct | Module,0,5,0,"Action: Sacrifice an allied creature. If that creature is a Module, add its power to this one, then gain its ability.",,Gold,,,,,,,Kyr,2
78,Creature,Targeteer-1,2O,Construct | Module,2,1,0,,,Gold,,,,,,,,0
79,Creature,Viseer-2,3O,Construct | Module,0,2,0,Idle: Your opponent reveals a random card in their hand.,,Gold,,,,,,,,0
80,Creature,Traveleer-3,2O,Construct | Module,1,1,0,"Idle effects on this creature are ""Idle/Deploy"" effects.",,Gold,,,,,,,,0
81,Creature,Disadeer-4,4O,Construct | Module,0,2,0,Idle: This creature gains +0 | +2 | + 0 until end of phase.,,Gold,,,,,,,,0
82,Creature,Sanitation Bot,2O,Construct,0,2,1,"Idle: Draw 2 cards, then discard 1.",,Gold,,,,,,,,
83,Creature,"Akillas, Maximate Design",6O,Construct | Leader,7,3,1,You may only play Akillas if you already control 2 other Constructs,"""Haha! Akillas, my greatest creation. Built to win a thousand battles!"" Tink, Tinkerer",Gold,,,,,,,,
84,Creature,The Architect,3O,Cyborg |Scholar,1,2,1,Idle: Give a creature +1 | +1 | +0.,,Gold,,,,,,,,
85,Creature,Evolved Coherence,3O,Data,1,1,0,Witness: Give this creature +1 | +1 | +1.,,Gold,,,,,,,,
86,Creature,Trikeri Spearbot,5O,Construct | Weapon,3,1,0,"Deploy: Deal 1 damage to a creature in this zone.
Action: Heal 1 damage from a creature in this zone.
Idle: Sacrifice Trikeri Spearbot. Give a creature in this zone +3 | +0 | +0.",,Gold,,,,,,,,
87,Creature,0x43616e617279,4O,Data,0,1,1,Destroyed: Redeploy all friendly creatures in this zone to your Barracks. The Battlefield may not be captured in this combat.,,Gold,,,,,,,,
88,Creature,Master of the Swarm,7O,Construct,3,7,2,"Drone Master can only be played if you control 3 or more creatures.
Deploy: Search your library for a Drone. Play it at no cost, in this zone.",,Gold,,,,,,,,
89,Creature,"Yatoris, the Avaricious",3O,Cyborg | Anomaly,4,2,0,"Sturdy (This creature does not take damage, unless that damage would be enough to destroy it.) 
Destroyed: You may sacrifice a friendly creature in the same zone as Yatoris. If you do, instead of discarding it exhaust Yatoris, fully heal it, and move it into your barracks.",,Gold,,,,,,,,
90,Creature,Reco,4O,Construct | Drone,1,2,0,Destroyed: Fully heal all other allied creatures in this zone.,,Gold,,,,,,,,
91,Creature,Apostate of Light,4O,Cyborg | Anomaly,2,4,1,"Subtle (This creature may ignore the battleline when deploying).
Deploy: Destroy a creature of toughness less than 2 in this zone.",,Gold,,,,,,,,
92,Creature,"Kliotise, Evolutionary Test",3O,Plant,2,1,0,Idle: Give this creature +0|+1|+0,,Gold,,,,,,,,
93,Instant,Light's Favor,2O,-,-,-,-,"Play: If you control a Leader, stockpile this card under a friendly creature. That creature gains Sturdy and ""Deploy: You may exhaust a friendly Construct. If you do, give this creature  +0 | +1| +0"" ",,Gold,,,,,,,,
94,Instant,Exploit Vulnerability,2O,-,-,-,-,"Play: Tap an enemy artifact. If you do, deal 3 damage to it",,Gold,,,,,,,,
95,Instant,"
Principle of Locality","2O
","-
",-,-,-,"Play: Choose a creature in the battleline. For each friendly creature in the Battleline, give that creature +1 | +0 | +0.",,Gold,,,,,,,,
96,Instant,Midaic Touch,5O,-,-,-,-,"Play: All cards in every discard are considered to be Gold until the start of the next phase. Play one card out of hand, then end the phase.",,Gold,,,,,,,,
97,Instant,Reset to Factory Default,3O,-,-,-,-,Play: Return a creature to their owner's hand.,,Gold,,,,,,,,
98,Instant,Gilded Ideal,3O,-,-,-,-,Play: Choose a creature. This creature may not be dealt damage until the start of the next phase.,,Gold,,,,,,,,
99,Instant,Holographic Trick,2O,-,-,-,-,"Play: Return a creature from your discard to the Frontline. This creature has 0 power and cannot capture a battlefield. At the end of the phase, sacrifice this creature.","Some idea of ""distraction."" IE, creatures only fight what is in front of them, so you could use this to disable their strongest creature.",Gold,,,,,,,,
100,Instant,Value Drift,4O,-,-,-,-,"Play: Every Construct creature is considered an Anomaly until End of Phase. Give every Anomaly, Scrap, and Scholar creature +2 | +0 | +0.",,Gold,,,,,,,,
101,Instant,Cost of Perfection,2O,-,-,-,-,Play: Sacrifice an allied creature. Deal damage equal to half that creature's toughness to each other creature in this zone.,,Gold,,,,,,,,
102,Instant,Model of Excellence,3O,-,-,-,-,Play: Your opponent discards a random card in their hand.,,Gold,,,,,,,,
103,Instant,Community Service,3O,-,-,-,-,Play: Deal 1 damage to an enemy creature for each creature you control.,,Gold,,,,,,,,
104,Instant,Stabilize,4O,-,-,-,-,Play: Your opponent may not recycle cards until the start of the next phase.,,Gold,,,,,,,,
105,Instant,Repurpose,2O,-,-,-,-,Play: Sacrifice up to three creatures to summon a creature at regular cost - the toughness of the sacrificed creatures.,,Gold,,,,,,,,
106,Instant,Cull Imperfection,6O,-,-,-,-,Play: Destroy a creature.,,Gold,,,,,,,,
107,Instant,Controlled Supply Lines,2O,-,-,-,-,"Play: Until the end of phase, the next player to recycle from their discard must exhaust two ready friendly creatures.",,Gold,,,,,,,,
,,,,,,,,,,,,,,,,,,
108,Artifact,"Recyling Plant
",6S,Location,-,8,"-
","Play: Return an instant from your discard into your hand.
While this is in play, any time a creature dies in combat, give a friendly creature +0 | +1 | +0",,Grey,Artifact,11,,,,,,
109,Artifact,Monument to the Ages,5S,Location,-,2,-,"Action: Sacrifice a creature. If you do, give this Artifact +0 | +2 | +0.
When a creature dies defending Monument to the ages, instead of discarding it, return it to your hand.",,Grey,Creature,28,,,,,,
110,Artifact,Hanging Gardens,6S,Location,"-
",6,-,"Action: For each Steel creature in the discard, deal 1 to Hanging Gardens. If this damage would destroy the Hanging Gardens, instead fully heal this artifact and destroy an ally and enemy creature. If you don't, sacrfice Hanging Gardens.",,Grey,Instant,13,,,,,,
111,Artifact,The Reminiscence,7S,Location,-,4,-,"Start of Phase: Choose and enemy creature. It gains, ""Destroyed: Shuffle the top two cards from your discard into your deck"" until end of phase.",,Grey,Total:,52,,,,,,
112,Artifact,Tower of Scrap ,4S,Location,-,9,-,Play: Destroy all creatures.,"""Only the steelmongers could worship a simple pile of garbage"" - Daidon, Light's Representative",Grey,,,,,,,,
113,Artifact,"Yliochos, Judgment's Point",6S,Location,-,4,-,"Play: You may sacrifice a friendly creature to discard 2 cards.
Action: Deal 1 damage to a creature. If this damage kills that creature, exhaust an enemy creature.",,Grey,,,,,,,,
114,Artifact,The Chop Shop,5S,Location,-,2,-,"The first time The Chop Shop would take damage in a phase, it takes none. 
Action: If a Scrap creature has been destroyed this turn, give a friendly Cyborg +2 | +0 | +0""",,Grey,,,,,,,,
115,Artifact,Scattering Relic,6S,Ancient | Item,-,-,-,"Destroyed: Gain 4 steel mana.
Action: Move a friendly creature to any zone, ignoring the battleline, then destroy it. ",,Grey,,,,,,,,
116,Artifact,Etched Cavern,7S,Location,-,7,-,"Every time you recycle from your discard, you may deal 3 damage to a friendly creature to draw two cards.",,Grey,,,,,,,,
117,Artifact,Valley of the Damned,6S,Location,-,5,-,"Trap: Ready each other friendly artifact.
When attacking Valley of the Damned, creatures deal 2 less damage.",,Grey,,,,,,,,
118,Artifact,Historical of War,5S,Location,-,7,-,"Recycled: Deal 2 damage to a friendly artifact.
Play: Search your library for a creature of cost equal to the amount of damage on all your artifacts. Summon that creature, readied.",,Grey,,,,,,,,
119,Creature,Reassembled Monstrosity,6S,Titan,7,7,2,,,Grey,,,,,,,,
120,Creature,"Rezyx, Hoarder",1S,Human | Scrap,1,1,1,Destroyed: Gain 2 steel mana at the beginning of next phase.,,Grey,,,,,,,,
121,Creature,Insef Rider,3S,Cyborg,1,2,2,"Each other ""Cyborg"" creature in play has ""Dauntless""",,Grey,,,,,,,,
122,Creature,Insef Protector,5S,Cyborg,3,3,3,,,Grey,,,,,,,,
123,Creature,Insef Barrelmin,2S,Scholar | Cyborg,1,2,1,"Recycled: Ready a ""Cyborg"" creature.
Play: Ready Insef Barrelmin and another ""Cyborg"" creature.",,Grey,,,,,,,,
124,Creature,"Ylin, Insef Executioner",7S,Cyborg,4,6,3,"Deploy: Select a creature in this zone. If Ylin has 3 or more toughness greater than that creature, destroy it.",,Grey,,,,,,,,
125,Creature,Volate Tanker,5S,Scrap | Titan,2,5,0,Destroyed: Destroy all creatures in this zone.,"""What we can spare... we share!"" -  Dyllis, Scrapmaker",Grey,,,,,,,,
126,Creature,Mammothine Driver,6S,Titan,5,8,2,Dauntless,,Grey,,,,,,,,
127,Creature,"Uenva, Ruinspeaker",5S,Titan,2,6,2,"Uenva, Ruinspeaker deals double damage to ""Wonder"" and ""Ancient"" cards.",,Grey,,,,,,,,
128,Creature,Scattered Parts,2S,Construct,2,1,0,Recycled: Give a friendly creature +0 | +1 | +0,,Grey,,,,,,,,
129,Creature,Manic Collector,4S,Human | Scholar,1,2,1,"Idle: At the end of the phase, choose one friendly creature dead this turn and return it to your hand.",,Grey,,,,,,,,
130,Creature,Mismatched Coagulate,1S,Experiment,0,1,0,"Recycled: Shuffle 2 cards from your discard into your deck. If you do, Place Mismatched Coagulate and another Recycled card on the top of your deck.
Destroyed: Discard a card.",,Grey,,,,,,,,
131,Creature,Mechromancer,4S,Cyborg,3,2,1,Guard: Deal 1 damage to an enemy creature in this zone for each Artifact you control.,,Grey,,,,,,,,
132,Creature,Reassemblant,3S,Scrap,0,1,0,Trap: Draw a card and gain 2 Steel mana. Sacrifice Reassemblant. ,"
",Grey,,,,,,,,
133,Creature,Spontaneous Product,3S,Scrap,3,2,1,Destroyed: Discard the bottom three cards of your deck.,"""This is... not what I intended..."" - Dyllis, Scrapmaker",Grey,,,,,,,,
134,Creature,"Itiviti, Wasteland Queen",6S,Cyborg | Scholar,2,8,0,Bloodied: Select a card recycled this phase. Place that card on the top of your library. ,"""Bow, and be remade!"" - Itiviti, Wasteland Queen",Grey,,,,,,,,
135,Creature,Modi-Junker,5S,Cyborg | Scrap,0,4,3,"Friendly creatures in the same zone as Modi-Junker have ""Destroyed: Give a Modi-Junker in this zone +1 | +0 | +0.""",,Grey,,,,,,,,
136,Creature,Repurposing Caravan,4S,Construct,3,2,1,"Enemy creatures in the same zone as Repurposing Caravan have ""Destroyed: Put this card on the bottom of your library""","""Thanks for your contribution!"" - Repurposing Caravan""",Grey,,,,,,,,
137,Creature,Virtesian Maw,4S,Beast | Scrap,2,2,1,"Deploy: Redeploy an enemy creature in this zone to their barracks, and exhaust them.",,Grey,,,,,,,,
138,Creature,"Kalkavat, Iron's Sight",5S,Cyborg,1,2,1,"Action: Search your discard for a ""Locked Shot"" and place it in your hand.",,Grey,,,,,,,,
139,Creature,"Dyllis, Scrapmaker",5S,Human | Summoner,5,2,2,"End of Phase: If a creature was destroyed by Dyllis, Scrapmaker this phase, draw 2 cards and discard 3 cards.",,Grey,,,,,,,,
140,Creature,"Tivyr, Bio-Engineer",2S,Cyborg | Scholar,2,2,0,"Sturdy (This creature does not take damage, unless that damage would destroy it). 
When Tivyr destroys a creature, give it +1 | +1 | +0.",,Grey,,,,,,,,
141,Creature,"Fenrir, Forgotten Horror",11S,Titan | Location,9,7,3,Play: Exhaust all enemy creatures.,"""A thousand cities fell to Fenrir. Only I refused"" - Yria, Spear Maiden",Grey,,,,,,,,
142,Creature,Fallen Exalt,4S,Construct | Anomaly,1,2,1,"Guard: If there is another Construct in this zone, give Fallen Exalt +3|+0|+0 until the end of phase.","""We offer freedom from their burning light"" - Itiviti, Wasteland Queen.",Grey,,,,,,,,
143,Creature,Flamit Madman,"4S
",Cyborg | Scrap,1,3,1,"Destroyed: Destroy a battlefield, artifact, or creature in this zone.",,Grey,,,,,,,,
144,Creature,Resupplier,4S,Human | Summoner,1,2,1,"Witness: You may expend 1 steel mana. If you do, resummon a friendly creature destroyed this turn.",,Grey,,,,,,,,
145,Creature,The Feed,5S,Scrap,3,2,1,"Play: Destroy an enemy creature.
Recycled: Sacrifice an allied creature. If you do, destroy an enemy creature.",,Grey,,,,,,,,
146,Creature,Student of Scrap,3S,Scrap | Scholar,2,4,1,"Play: Instead of summoning this creature to your barracks, you may instead stockpile it under another Steel creature.
Idle: Choose a friendly creature. Heal 2 points from that creature. 
The creature this is stockpiled under gains +0|+3|+1",,Grey,,,,,,,,
147,Instant,Cruel Imitation,4S,-,-,-,-,"Play: Pick an enemy creature destroyed this phase. Summon and deploy it under your control. At the end of this phase, sacrifice this creature.",,Grey,,,,,,,,
